OTU	pident	title	genus	species
Otu01848	93.75	Prevotella copri	Prevotella	copri
Otu01850	95.257	Succinivibrio dextrinosolvens	Succinivibrio	dextrinosolvens
Otu01854	97.233	Lachnotalea glycerini	Lachnotalea	glycerini
Otu01856	99.605	Slackia isoflavoniconvertens	Slackia	isoflavoniconvertens
Otu01857	94.862	Nitrososphaera viennensis	Nitrososphaera	viennensis
Otu01858	100	Actinobacillus pleuropneumoniae	Actinobacillus	pleuropneumoniae
Otu01862	97.628	Trichococcus alkaliphilus	Trichococcus	alkaliphilus
Otu01863	98.4	Treponema succinifaciens	Treponema	succinifaciens
Otu01865	100	[Clostridium] innocuum	[Clostridium]	innocuum
Otu01867	100	Phocea massiliensis	Phocea	massiliensis
Otu01868	97.233	Prevotella copri	Prevotella	copri
Otu01870	97.233	[Clostridium] lavalense	[Clostridium]	lavalense
Otu01871	100	Streptomyces eurythermus	Streptomyces	eurythermus
Otu01872	93.701	Oscillibacter ruminantium	Oscillibacter	ruminantium
Otu01873	95.652	[Clostridium] clostridioforme	[Clostridium]	clostridioforme
Otu01874	100	Pseudomonas lini	Pseudomonas	lini
Otu01875	95.652	Neglecta timonensis	Neglecta	timonensis
Otu01878	94.51	Brevitalea aridisoli	Brevitalea	aridisoli
Otu01880	99.583	Dorea longicatena	Dorea	longicatena
Otu01881	93.701	Oxobacter pfennigii	Oxobacter	pfennigii
Otu01885	96.386	Anaerovibrio lipolyticus	Anaerovibrio	lipolyticus
Otu01886	93.305	Colidextribacter massiliensis	Colidextribacter	massiliensis
Otu01889	100	Fusicatenibacter saccharivorans	Fusicatenibacter	saccharivorans
Otu01890	93.651	Ihubacter massiliensis	Ihubacter	massiliensis
Otu01896	96.429	Anaerotruncus colihominis	Anaerotruncus	colihominis
Otu01897	99.209	Terrimonas arctica	Terrimonas	arctica
Otu01898	99.605	Subdoligranulum variabile	Subdoligranulum	variabile
Otu01900	94.862	[Eubacterium] brachy	[Eubacterium]	brachy
Otu01901	97.619	Ihubacter massiliensis	Ihubacter	massiliensis
Otu01902	96.85	Roseburia faecis	Roseburia	faecis
Otu01905	100	Facklamia tabacinasalis	Facklamia	tabacinasalis
Otu01906	94.466	Prevotella denticola	Prevotella	denticola
Otu01908	100	Ruminococcus gauvreauii	Ruminococcus	gauvreauii
Otu01910	100	Brachybacterium horti	Brachybacterium	horti
Otu01911	96.457	Fournierella massiliensis	Fournierella	massiliensis
Otu01912	94.4	Eubacterium ramulus	Eubacterium	ramulus
Otu01913	98.814	Christensenella massiliensis	Christensenella	massiliensis
Otu01916	98.024	Blautia obeum	Blautia	obeum
Otu01917	96.443	Vicinamibacter silvestris	Vicinamibacter	silvestris
Otu01918	100	Pelistega suis	Pelistega	suis
Otu01919	98.81	Ihubacter massiliensis	Ihubacter	massiliensis
Otu01925	96.047	Prevotella stercorea	Prevotella	stercorea
Otu01928	95.652	Anaerobium acetethylicum	Anaerobium	acetethylicum
Otu01929	93.676	Neglecta timonensis	Neglecta	timonensis
Otu01930	94.862	Prevotella copri	Prevotella	copri
Otu01932	94.071	Anaerotruncus rubiinfantis	Anaerotruncus	rubiinfantis
Otu01936	97.628	Anaerobium acetethylicum	Anaerobium	acetethylicum
Otu01938	97.233	Desulfovibrio piger	Desulfovibrio	piger
Otu01939	94.071	Phocea massiliensis	Phocea	massiliensis
Otu01940	97.619	Mitsuokella jalaludinii	Mitsuokella	jalaludinii
Otu01941	96.281	Clostridium saudiense	Clostridium	saudiense
Otu01942	96.443	Prevotella copri	Prevotella	copri
Otu01944	99.58	Acidaminococcus fermentans	Acidaminococcus	fermentans
Otu01946	97.233	Kineothrix alysoides	Kineothrix	alysoides
Otu01947	99.605	Bacillus hisashii	Bacillus	hisashii
Otu01951	100	Moraxella osloensis	Moraxella	osloensis
Otu01952	93.307	Alloprevotella rava	Alloprevotella	rava
Otu01953	99.585	Olsenella umbonata	Olsenella	umbonata
Otu01955	99.605	Gemella palaticanis	Gemella	palaticanis
Otu01956	100	Pseudarthrobacter phenanthrenivorans	Pseudarthrobacter	phenanthrenivorans
Otu01957	93.676	Desulfovibrio oxamicus	Desulfovibrio	oxamicus
Otu01958	99.209	Porphyromonas uenonis	Porphyromonas	uenonis
Otu01959	93.281	Tepidibaculum saccharolyticum	Tepidibaculum	saccharolyticum
Otu01961	94.862	Anaerofustis stercorihominis	Anaerofustis	stercorihominis
Otu01962	98.814	Citrobacter koseri	Citrobacter	koseri
Otu01963	94.167	Ruminococcus bromii	Ruminococcus	bromii
Otu01965	95.652	Fournierella massiliensis	Fournierella	massiliensis
Otu01967	98.008	Blautia luti	Blautia	luti
Otu01968	100	Serratia oryzae	Serratia	oryzae
Otu01970	100	Comamonas piscis	Comamonas	piscis
Otu01972	96.032	Collinsella bouchesdurhonensis	Collinsella	bouchesdurhonensis
Otu01974	98.4	Coprococcus comes	Coprococcus	comes
Otu01978	98.016	Treponema porcinum	Treponema	porcinum
Otu01979	98.024	Clostridium chartatabidum	Clostridium	chartatabidum
Otu01981	97.628	Roseburia faecis	Roseburia	faecis
Otu01982	96.863	Eubacterium oxidoreducens	Eubacterium	oxidoreducens
Otu01983	95.238	Mogibacterium neglectum	Mogibacterium	neglectum
Otu01986	93.281	Acutalibacter muris	Acutalibacter	muris
Otu01987	96.443	[Clostridium] xylanolyticum	[Clostridium]	xylanolyticum
Otu01988	98.024	Campylobacter coli	Campylobacter	coli
Otu01994	98.024	Atopostipes suicloacalis	Atopostipes	suicloacalis
Otu01995	97.233	Kineothrix alysoides	Kineothrix	alysoides
Otu01996	95.257	[Clostridium] methylpentosum	[Clostridium]	methylpentosum
Otu01998	99.605	Blautia faecis	Blautia	faecis
Otu02004	97.908	Lachnospira pectinoschiza	Lachnospira	pectinoschiza
Otu02005	93.307	Hungateiclostridium thermocellum	Hungateiclostridium	thermocellum
Otu02006	96.471	Eubacterium oxidoreducens	Eubacterium	oxidoreducens
Otu02009	96.85	Lachnoclostridium pacaense	Lachnoclostridium	pacaense
Otu02010	100	Intrasporangium calvum	Intrasporangium	calvum
Otu02011	96.825	Olsenella uli	Olsenella	uli
Otu02013	97.222	Mitsuokella multacida	Mitsuokella	multacida
Otu02014	98.419	Eikenella halliae	Eikenella	halliae
Otu02015	93.281	Papillibacter cinnamivorans	Papillibacter	cinnamivorans
Otu02016	96.838	Mesorhizobium carbonis	Mesorhizobium	carbonis
Otu02017	100	Kocuria atrinae	Kocuria	atrinae
Otu02018	100	Lactobacillus mucosae	Lactobacillus	mucosae
Otu02019	97.628	Clostridium chartatabidum	Clostridium	chartatabidum
Otu02022	93.701	[Clostridium] methylpentosum	[Clostridium]	methylpentosum
Otu02023	100	Fusobacterium necrophorum	Fusobacterium	necrophorum
Otu02025	96.825	Anaerotruncus rubiinfantis	Anaerotruncus	rubiinfantis
Otu02029	98.814	Leptotrichia wadei	Leptotrichia	wadei
Otu02031	94.048	Murdochiella massiliensis	Murdochiella	massiliensis
Otu02034	100	Bacteroides eggerthii	Bacteroides	eggerthii
Otu02036	94.862	Ruminococcus champanellensis	Ruminococcus	champanellensis
Otu02040	99.605	Parabacteroides distasonis	Parabacteroides	distasonis
Otu02041	99.605	Arcanobacterium wilhelmae	Arcanobacterium	wilhelmae
Otu02043	93.701	Prevotella copri	Prevotella	copri
Otu02047	94.071	Schwartzia succinivorans	Schwartzia	succinivorans
Otu02049	100	Aridibacter nitratireducens	Aridibacter	nitratireducens
Otu02050	94	Marvinbryantia formatexigens	Marvinbryantia	formatexigens
Otu02051	95.652	Sporobacter termitidis	Sporobacter	termitidis
Otu02052	97.628	Treponema porcinum	Treponema	porcinum
Otu02053	100	Pseudoxanthomonas taiwanensis	Pseudoxanthomonas	taiwanensis
Otu02055	97.255	Coprococcus catus	Coprococcus	catus
Otu02057	100	Parasutterella excrementihominis	Parasutterella	excrementihominis
Otu02061	97.59	Acidaminococcus fermentans	Acidaminococcus	fermentans
Otu02063	97.244	Ruminococcus bromii	Ruminococcus	bromii
Otu02064	97.628	Blautia faecicola	Blautia	faecicola
Otu02066	96.838	Amorphus coralli	Amorphus	coralli
Otu02068	93.281	Neglecta timonensis	Neglecta	timonensis
Otu02072	100	Bergeyella porcorum	Bergeyella	porcorum
Otu02074	96.047	Anaerotignum lactatifermentans	Anaerotignum	lactatifermentans
Otu02075	97.095	Dorea longicatena	Dorea	longicatena
Otu02079	96.443	Pseudoflavonifractor phocaeensis	Pseudoflavonifractor	phocaeensis
Otu02082	96.234	Roseburia intestinalis	Roseburia	intestinalis
Otu02083	93.676	Christensenella massiliensis	Christensenella	massiliensis
Otu02084	97.49	Ruminococcus lactaris	Ruminococcus	lactaris
Otu02086	97.222	Streptococcus pasteurianus	Streptococcus	pasteurianus
Otu02087	99.209	Amniculibacterium aquaticum	Amniculibacterium	aquaticum
Otu02090	97.628	Anaerocolumna cellulosilytica	Anaerocolumna	cellulosilytica
Otu02091	93.676	Roseburia intestinalis	Roseburia	intestinalis
Otu02092	95.669	Nordella oligomobilis	Nordella	oligomobilis
Otu02093	93.307	Prevotella copri	Prevotella	copri
Otu02094	95.257	Anaerotignum aminivorans	Anaerotignum	aminivorans
Otu02095	99.209	Leucobacter komagatae	Leucobacter	komagatae
Otu02099	97.233	Kineothrix alysoides	Kineothrix	alysoides
Otu02100	96	Blautia faecis	Blautia	faecis
Otu02101	98.419	Ruminococcus faecis	Ruminococcus	faecis
Otu02102	95.635	Anaerococcus pacaensis	Anaerococcus	pacaensis
Otu02104	98.016	Selenomonas bovis	Selenomonas	bovis
Otu02105	100	Neglecta timonensis	Neglecta	timonensis
Otu02106	98.4	Lactobacillus caviae	Lactobacillus	caviae
Otu02109	97.233	Cloacibacillus porcorum	Cloacibacillus	porcorum
Otu02110	96.838	Succinivibrio dextrinosolvens	Succinivibrio	dextrinosolvens
Otu02111	94.862	Chthoniobacter flavus	Chthoniobacter	flavus
Otu02116	94.862	Aminipila butyrica	Aminipila	butyrica
Otu02117	93.281	Aciditerrimonas ferrireducens	Aciditerrimonas	ferrireducens
Otu02119	97.233	Rhodoplanes roseus	Rhodoplanes	roseus
Otu02121	95.257	Lachnoclostridium pacaense	Lachnoclostridium	pacaense
Otu02122	96.443	Roseburia intestinalis	Roseburia	intestinalis
Otu02124	98.024	Roseburia faecis	Roseburia	faecis
Otu02125	97.49	Prevotella copri	Prevotella	copri
Otu02126	96.047	Intestinimonas butyriciproducens	Intestinimonas	butyriciproducens
Otu02127	97.908	Bacteroides xylanolyticus	Bacteroides	xylanolyticus
Otu02131	97.908	Blautia faecis	Blautia	faecis
Otu02132	100	Sharpea azabuensis	Sharpea	azabuensis
Otu02133	94.488	Prevotella copri	Prevotella	copri
Otu02135	97.233	Lactobacillus caviae	Lactobacillus	caviae
Otu02136	98.326	Blautia faecis	Blautia	faecis
Otu02137	97.619	Mitsuokella multacida	Mitsuokella	multacida
Otu02139	98.81	Subdoligranulum variabile	Subdoligranulum	variabile
Otu02140	100	Pedobacter bauzanensis	Pedobacter	bauzanensis
Otu02142	97.628	Clostridium saudiense	Clostridium	saudiense
Otu02145	98.394	Streptococcus pasteurianus	Streptococcus	pasteurianus
Otu02146	100	Alistipes indistinctus	Alistipes	indistinctus
Otu02148	93.307	Sporobacter termitidis	Sporobacter	termitidis
Otu02149	96.154	Prevotella denticola	Prevotella	denticola
Otu02150	98.024	Coprococcus comes	Coprococcus	comes
Otu02152	94.862	Fretibacterium fastidiosum	Fretibacterium	fastidiosum
Otu02153	96.838	Luteolibacter gellanilyticus	Luteolibacter	gellanilyticus
Otu02154	93.2	Anaerocolumna cellulosilytica	Anaerocolumna	cellulosilytica
Otu02155	95.635	Asteroleplasma anaerobium	Asteroleplasma	anaerobium
Otu02156	96.443	Prevotella copri	Prevotella	copri
Otu02157	98.814	Hyphomicrobium aestuarii	Hyphomicrobium	aestuarii
Otu02158	96.047	Succinivibrio dextrinosolvens	Succinivibrio	dextrinosolvens
Otu02159	96.063	Monoglobus pectinilyticus	Monoglobus	pectinilyticus
Otu02160	97.628	Faecalibacterium prausnitzii	Faecalibacterium	prausnitzii
Otu02163	96.787	Mitsuokella multacida	Mitsuokella	multacida
Otu02164	94.862	[Clostridium] amygdalinum	[Clostridium]	amygdalinum
Otu02168	96.838	Monoglobus pectinilyticus	Monoglobus	pectinilyticus
Otu02171	97.49	Prevotella copri	Prevotella	copri
Otu02172	98.016	Selenomonas bovis	Selenomonas	bovis
Otu02174	94.048	Paludicola psychrotolerans	Paludicola	psychrotolerans
Otu02175	98.413	Treponema succinifaciens	Treponema	succinifaciens
Otu02176	100	Streptococcus parauberis	Streptococcus	parauberis
Otu02177	93.254	Treponema porcinum	Treponema	porcinum
Otu02178	94.979	[Eubacterium] cellulosolvens	[Eubacterium]	cellulosolvens
Otu02179	98.024	Helicobacter canadensis	Helicobacter	canadensis
Otu02180	98.024	Selenomonas bovis	Selenomonas	bovis
Otu02183	98.024	Cloacibacillus porcorum	Cloacibacillus	porcorum
Otu02184	94.444	Enterorhabdus muris	Enterorhabdus	muris
Otu02185	96.443	[Clostridium] amygdalinum	[Clostridium]	amygdalinum
Otu02186	98.024	Blautia obeum	Blautia	obeum
Otu02188	94.094	Prevotella copri	Prevotella	copri
Otu02191	99.209	Eikenella halliae	Eikenella	halliae
Otu02192	96.063	Hungatella hathewayi	Hungatella	hathewayi
Otu02193	97.619	Selenomonas bovis	Selenomonas	bovis
Otu02194	98.419	Nocardioides sonneratiae	Nocardioides	sonneratiae
Otu02195	99.209	Plantactinospora siamensis	Plantactinospora	siamensis
Otu02197	94.882	Prevotella copri	Prevotella	copri
Otu02201	98.024	[Eubacterium] rectale	[Eubacterium]	rectale
Otu02202	94.024	Butyricicoccus pullicaecorum	Butyricicoccus	pullicaecorum
Otu02203	100	Dielma fastidiosa	Dielma	fastidiosa
Otu02207	94.466	Gallicola barnesae	Gallicola	barnesae
Otu02208	97.233	Prevotella copri	Prevotella	copri
Otu02209	93.725	Clostridium acetireducens	Clostridium	acetireducens
Otu02212	97.628	Helcococcus kunzii	Helcococcus	kunzii
Otu02213	93.676	Papillibacter cinnamivorans	Papillibacter	cinnamivorans
Otu02214	99.603	Peptoniphilus coxii	Peptoniphilus	coxii
Otu02216	97.628	Colidextribacter massiliensis	Colidextribacter	massiliensis
Otu02220	94.862	Treponema porcinum	Treponema	porcinum
Otu02221	100	Kitasatospora phosalacinea	Kitasatospora	phosalacinea
Otu02224	96.838	[Ruminococcus] torques	[Ruminococcus]	torques
Otu02225	96.4	Prevotella stercorea	Prevotella	stercorea
Otu02226	95.652	[Clostridium] citroniae	[Clostridium]	citroniae
Otu02227	94.071	Phocea massiliensis	Phocea	massiliensis
Otu02228	94.862	Roseburia intestinalis	Roseburia	intestinalis
Otu02229	95.652	Lachnoclostridium pacaense	Lachnoclostridium	pacaense
Otu02231	96.047	[Eubacterium] rectale	[Eubacterium]	rectale
Otu02232	98.81	Faecalibacterium prausnitzii	Faecalibacterium	prausnitzii
Otu02233	97.628	Gaiella occulta	Gaiella	occulta
Otu02235	97.233	Bacillus kochii	Bacillus	kochii
Otu02240	98.819	Roseburia faecis	Roseburia	faecis
Otu02242	94.071	Prevotella albensis	Prevotella	albensis
Otu02243	94.071	Intestinimonas butyriciproducens	Intestinimonas	butyriciproducens
Otu02247	98.024	Coprococcus comes	Coprococcus	comes
Otu02252	96.429	Mitsuokella jalaludinii	Mitsuokella	jalaludinii
Otu02253	97.638	Blautia luti	Blautia	luti
Otu02254	98.008	Megasphaera elsdenii	Megasphaera	elsdenii
Otu02256	93.307	Olsenella scatoligenes	Olsenella	scatoligenes
Otu02259	94.094	Prevotella baroniae	Prevotella	baroniae
Otu02261	94.071	Oribacterium sinus	Oribacterium	sinus
Otu02262	95.257	Bartonella apis	Bartonella	apis
Otu02263	97.992	Phascolarctobacterium succinatutens	Phascolarctobacterium	succinatutens
Otu02266	97.233	Glaesserella parasuis	Glaesserella	parasuis
Otu02269	97.581	Prevotella copri	Prevotella	copri
Otu02276	97.619	Eubacterium nodatum	Eubacterium	nodatum
Otu02277	94.862	Prevotella stercorea	Prevotella	stercorea
Otu02279	94.902	[Bacteroides] coagulans	[Bacteroides]	coagulans
Otu02281	97.619	Gemmiger formicilis	Gemmiger	formicilis
Otu02284	98.413	Klebsiella aerogenes	Klebsiella	aerogenes
Otu02286	97.233	Alistipes senegalensis	Alistipes	senegalensis
Otu02290	98.016	Treponema porcinum	Treponema	porcinum
Otu02291	96.825	Ihubacter massiliensis	Ihubacter	massiliensis
Otu02292	98.419	Intestinimonas butyriciproducens	Intestinimonas	butyriciproducens
Otu02296	97.628	Desulfovibrio desulfuricans	Desulfovibrio	desulfuricans
Otu02299	93.701	Parabacteroides chongii	Parabacteroides	chongii
Otu02300	95.238	Selenomonas bovis	Selenomonas	bovis
Otu02303	95.652	Clostridium subterminale	Clostridium	subterminale
Otu02306	99.209	Lawsonella clevelandensis	Lawsonella	clevelandensis
Otu02308	98.419	Faecalibacterium prausnitzii	Faecalibacterium	prausnitzii
Otu02309	99.605	Oceanobacillus chironomi	Oceanobacillus	chironomi
Otu02311	93.333	Brevitalea aridisoli	Brevitalea	aridisoli
Otu02312	99.167	Ruminococcus bromii	Ruminococcus	bromii
Otu02314	94.466	Luteitalea pratensis	Luteitalea	pratensis
Otu02316	95.635	Selenomonas bovis	Selenomonas	bovis
Otu02318	96.838	Faecalibacterium prausnitzii	Faecalibacterium	prausnitzii
Otu02319	96.863	Blautia luti	Blautia	luti
Otu02320	100	Soonwooa buanensis	Soonwooa	buanensis
Otu02321	97.189	Megasphaera elsdenii	Megasphaera	elsdenii
Otu02323	100	Halomonas lactosivorans	Halomonas	lactosivorans
Otu02324	97.233	Nitrososphaera viennensis	Nitrososphaera	viennensis
Otu02325	98.024	Cloacibacillus porcorum	Cloacibacillus	porcorum
Otu02328	96.047	Monoglobus pectinilyticus	Monoglobus	pectinilyticus
Otu02331	95.257	Bacteroides xylanolyticus	Bacteroides	xylanolyticus
Otu02334	95.397	Roseburia hominis	Roseburia	hominis
Otu02336	96.047	Monoglobus pectinilyticus	Monoglobus	pectinilyticus
Otu02338	97.233	Eubacterium coprostanoligenes	Eubacterium	coprostanoligenes
Otu02340	95.652	Luteolibacter gellanilyticus	Luteolibacter	gellanilyticus
Otu02341	100	Rhodanobacter fulvus	Rhodanobacter	fulvus
Otu02342	94.466	Bacteroides caecigallinarum	Bacteroides	caecigallinarum
Otu02343	93.651	Mogibacterium neglectum	Mogibacterium	neglectum
Otu02348	94.094	Papillibacter cinnamivorans	Papillibacter	cinnamivorans
Otu02351	94.862	Gaiella occulta	Gaiella	occulta
Otu02355	94.488	Intestinimonas butyriciproducens	Intestinimonas	butyriciproducens
Otu02357	95.257	Anaerovibrio lipolyticus	Anaerovibrio	lipolyticus
Otu02358	98.814	Barnesiella intestinihominis	Barnesiella	intestinihominis
Otu02359	97.233	Anaeromyxobacter dehalogenans	Anaeromyxobacter	dehalogenans
Otu02360	96.838	[Clostridium] hylemonae	[Clostridium]	hylemonae
Otu02361	93.701	Prevotella jejuni	Prevotella	jejuni
Otu02364	97.034	Clostridium saudiense	Clostridium	saudiense
Otu02367	94.466	Gaiella occulta	Gaiella	occulta
Otu02368	96.825	Ihubacter massiliensis	Ihubacter	massiliensis
Otu02369	96.047	Roseburia intestinalis	Roseburia	intestinalis
Otu02370	96.471	Agathobacter ruminis	Agathobacter	ruminis
Otu02371	94.071	Sporobacter termitidis	Sporobacter	termitidis
Otu02373	97.619	Peptoniphilus stercorisuis	Peptoniphilus	stercorisuis
Otu02377	99.167	Coprococcus catus	Coprococcus	catus
Otu02380	99.6	Helicobacter rodentium	Helicobacter	rodentium
Otu02381	98.024	Thermicanus aegyptius	Thermicanus	aegyptius
Otu02382	95.635	Asteroleplasma anaerobium	Asteroleplasma	anaerobium
Otu02383	98.4	Lactobacillus gasseri	Lactobacillus	gasseri
Otu02384	94.444	Negativibacillus massiliensis	Negativibacillus	massiliensis
Otu02385	95.652	Acinetobacter boissieri	Acinetobacter	boissieri
Otu02386	97.908	Flintibacter butyricus	Flintibacter	butyricus
Otu02387	96	Ruminococcus lactaris	Ruminococcus	lactaris
Otu02388	95.833	Lachnoclostridium pacaense	Lachnoclostridium	pacaense
Otu02391	94.488	Papillibacter cinnamivorans	Papillibacter	cinnamivorans
Otu02393	95.652	Clostridium merdae	Clostridium	merdae
Otu02395	97.992	Acidaminococcus fermentans	Acidaminococcus	fermentans
Otu02396	99.606	Corynebacterium pollutisoli	Corynebacterium	pollutisoli
Otu02397	99.209	Rothia endophytica	Rothia	endophytica
Otu02398	98.81	Parvimonas micra	Parvimonas	micra
Otu02400	95.669	Flintibacter butyricus	Flintibacter	butyricus
Otu02401	93.281	Clostridium tepidum	Clostridium	tepidum
Otu02402	95.257	Prevotella fusca	Prevotella	fusca
Otu02404	93.676	Neglecta timonensis	Neglecta	timonensis
Otu02406	95.276	[Clostridium] polysaccharolyticum	[Clostridium]	polysaccharolyticum
Otu02407	98.016	Megasphaera elsdenii	Megasphaera	elsdenii
Otu02408	94.862	Papillibacter cinnamivorans	Papillibacter	cinnamivorans
Otu02411	93.281	Ruminococcus callidus	Ruminococcus	callidus
Otu02412	100	Anaerococcus vaginalis	Anaerococcus	vaginalis
Otu02413	100	Dolosigranulum pigrum	Dolosigranulum	pigrum
Otu02415	100	Bifidobacterium mongoliense	Bifidobacterium	mongoliense
Otu02418	99.605	Treponema porcinum	Treponema	porcinum
Otu02419	100	[Eubacterium] eligens	[Eubacterium]	eligens
Otu02420	97.638	Dorea longicatena	Dorea	longicatena
Otu02422	99.58	Terrisporobacter petrolearius	Terrisporobacter	petrolearius
Otu02424	94.444	Enterorhabdus muris	Enterorhabdus	muris
Otu02425	93.774	Brevitalea deliciosa	Brevitalea	deliciosa
Otu02426	97.628	Prevotella copri	Prevotella	copri
Otu02427	93.281	Chthoniobacter flavus	Chthoniobacter	flavus
Otu02428	96.838	Blautia wexlerae	Blautia	wexlerae
Otu02430	95.257	Blautia luti	Blautia	luti
Otu02433	96.443	Prevotella copri	Prevotella	copri
Otu02435	94.538	Prevotella multisaccharivorax	Prevotella	multisaccharivorax
Otu02437	95.652	Blautia faecis	Blautia	faecis
Otu02439	95.257	Mesorhizobium denitrificans	Mesorhizobium	denitrificans
Otu02440	98.419	Clostridium cadaveris	Clostridium	cadaveris
Otu02441	98.819	Blautia luti	Blautia	luti
Otu02443	96.863	Lachnoclostridium pacaense	Lachnoclostridium	pacaense
Otu02444	99.209	Cellulosilyticum ruminicola	Cellulosilyticum	ruminicola
Otu02446	96.443	Nitrososphaera viennensis	Nitrososphaera	viennensis
Otu02449	98.024	Prevotella copri	Prevotella	copri
Otu02450	94.862	Syntrophococcus sucromutans	Syntrophococcus	sucromutans
Otu02451	100	Streptococcus suis	Streptococcus	suis
Otu02455	93.651	Anaerovorax odorimutans	Anaerovorax	odorimutans
Otu02456	99.209	Nocardioides islandensis	Nocardioides	islandensis
Otu02459	99.585	Streptococcus hyointestinalis	Streptococcus	hyointestinalis
Otu02465	98.81	Anaerococcus nagyae	Anaerococcus	nagyae
Otu02466	97.244	Faecalibacterium prausnitzii	Faecalibacterium	prausnitzii
Otu02467	93.281	Collinsella phocaeensis	Collinsella	phocaeensis
Otu02468	96.047	Ruminococcus callidus	Ruminococcus	callidus
Otu02469	95.378	Propionispira arcuata	Propionispira	arcuata
Otu02472	93.701	Prevotella oris	Prevotella	oris
Otu02473	94.862	Syntrophococcus sucromutans	Syntrophococcus	sucromutans
Otu02474	99.605	Comamonas composti	Comamonas	composti
Otu02475	94.561	Lachnoclostridium pacaense	Lachnoclostridium	pacaense
Otu02476	96.443	Veillonella caviae	Veillonella	caviae
Otu02477	98.4	Fusicatenibacter saccharivorans	Fusicatenibacter	saccharivorans
Otu02478	100	Phascolarctobacterium succinatutens	Phascolarctobacterium	succinatutens
Otu02481	97.628	Gaiella occulta	Gaiella	occulta
Otu02484	96.443	Gemmiger formicilis	Gemmiger	formicilis
Otu02485	98.016	Terrisporobacter mayombei	Terrisporobacter	mayombei
Otu02487	97.619	Megasphaera hexanoica	Megasphaera	hexanoica
Otu02488	98.419	Arenimonas daechungensis	Arenimonas	daechungensis
Otu02490	96.047	Porphyromonas endodontalis	Porphyromonas	endodontalis
Otu02491	95.257	Peptococcus simiae	Peptococcus	simiae
Otu02495	97.233	Mitsuokella multacida	Mitsuokella	multacida
Otu02497	97.628	Kineothrix alysoides	Kineothrix	alysoides
Otu02498	93.701	Papillibacter cinnamivorans	Papillibacter	cinnamivorans
Otu02499	93.281	Aridibacter nitratireducens	Aridibacter	nitratireducens
Otu02500	97.233	[Clostridium] glycyrrhizinilyticum	[Clostridium]	glycyrrhizinilyticum
Otu02501	97.628	Zhizhongheella caldifontis	Zhizhongheella	caldifontis
Otu02503	100	Tepidiphilus succinatimandens	Tepidiphilus	succinatimandens
Otu02504	96.047	Succinivibrio dextrinosolvens	Succinivibrio	dextrinosolvens
Otu02507	99.582	Dorea formicigenerans	Dorea	formicigenerans
Otu02508	98.4	Lactobacillus leichmannii	Lactobacillus	leichmannii
Otu02512	94.466	Fimbriiglobus ruber	Fimbriiglobus	ruber
Otu02514	96.047	[Clostridium] scindens	[Clostridium]	scindens
Otu02515	94.862	[Clostridium] polysaccharolyticum	[Clostridium]	polysaccharolyticum
Otu02517	95.652	Oscillibacter ruminantium	Oscillibacter	ruminantium
Otu02518	97.189	Megasphaera hexanoica	Megasphaera	hexanoica
Otu02520	98.031	Cloacibacillus porcorum	Cloacibacillus	porcorum
Otu02521	98.024	Flavonifractor plautii	Flavonifractor	plautii
Otu02522	94.444	Propionispira arcuata	Propionispira	arcuata
Otu02523	98.4	Klebsiella aerogenes	Klebsiella	aerogenes
Otu02524	97.222	Peptoniphilus obesi	Peptoniphilus	obesi
Otu02527	95.257	Eubacterium coprostanoligenes	Eubacterium	coprostanoligenes
Otu02531	98.419	Subdoligranulum variabile	Subdoligranulum	variabile
Otu02532	99.209	Pseudoflavonifractor phocaeensis	Pseudoflavonifractor	phocaeensis
Otu02535	94.4	Faecalibacterium prausnitzii	Faecalibacterium	prausnitzii
Otu02536	98.024	Prevotella copri	Prevotella	copri
Otu02537	97.628	Lactobacillus mucosae	Lactobacillus	mucosae
Otu02539	96.825	Faecalibacterium prausnitzii	Faecalibacterium	prausnitzii
Otu02540	94.882	Intestinimonas butyriciproducens	Intestinimonas	butyriciproducens
Otu02542	96.838	Cloacibacillus porcorum	Cloacibacillus	porcorum
Otu02543	94.118	Schwartzia succinivorans	Schwartzia	succinivorans
Otu02544	100	Campylobacter mucosalis	Campylobacter	mucosalis
Otu02546	96.429	Olsenella profusa	Olsenella	profusa
Otu02549	98.024	Solirubrobacter ginsenosidimutans	Solirubrobacter	ginsenosidimutans
Otu02550	95.238	Mitsuokella multacida	Mitsuokella	multacida
Otu02551	99.605	Luteitalea pratensis	Luteitalea	pratensis
Otu02553	94.862	Prevotella copri	Prevotella	copri
Otu02554	94.862	Prevotella copri	Prevotella	copri
Otu02555	94.841	Fournierella massiliensis	Fournierella	massiliensis
Otu02557	97.233	Treponema porcinum	Treponema	porcinum
Otu02559	97.5	[Clostridium] amygdalinum	[Clostridium]	amygdalinum
Otu02560	98.326	Prevotella copri	Prevotella	copri
Otu02564	96.813	Propionispira arcuata	Propionispira	arcuata
Otu02566	98.024	Collinsella aerofaciens	Collinsella	aerofaciens
Otu02568	95.582	Roseburia intestinalis	Roseburia	intestinalis
Otu02569	95.669	Luteitalea pratensis	Luteitalea	pratensis
Otu02573	96.047	Collinsella aerofaciens	Collinsella	aerofaciens
Otu02574	98.419	Rothia nasimurium	Rothia	nasimurium
Otu02575	96.694	Murimonas intestini	Murimonas	intestini
Otu02577	96.838	Holdemanella biformis	Holdemanella	biformis
